category,component,candidate_name,supplier_or_platform,observed_price_usd,source_url,key_specs,why_consider,risks,next_action
LED strip,24V COB LED strip,5m White COB LED Strip Light Kit,superbrightleds.com,35.99,https://www.superbrightleds.com/led-strips-and-bars/complete-led-strip-kits/stk-nxk90-5m420-rf-01,"24V COB, 90+ CRI, warm 3000K option, kit option","good first prototype kit, task-light relevant","kit may include extra components; confirm actual width and adapter/dimmer details","verify strip width and segment cut length"
LED strip,24V tunable white COB,Armacost RibbonFlex Pro 24V Tunable White COB LED Strip,Home Depot / Armacost,36.88,https://www.homedepot.com/p/Armacost-Lighting-RibbonFlex-Pro-24V-Tunable-White-COB-8-2-ft-Hardwired-Dimmable-Cuttable-Color-Changing-Integrated-LED-Strip-Light-Tape-174610/330280161,"24V tunable white COB","useful if prototype needs CCT control","tunable white adds controller complexity","decide if fixed 3000K is enough"
LED strip,24V high CRI COB,24V COB LED Strip Light 480 LEDs/m,Walmart marketplace,17.13,https://www.walmart.com/ip/COB-LED-Strip-Light-16-4FT-DC24V-3000K-Narrow-Width-8mm-Light-480LEDs-M-Cuttable-Indoor-Home-Decor-No-Power-Supply/17166360904,"24V 3000K, 8mm, 480 LEDs/m listed","low-cost first visual test","marketplace listing reliability/spec validation needed","only use as low-cost comparison"
LED strip,24V COB CRI90+,Armacost RibbonFlex Pro 24V White COB LED Strip,SuperBrightLEDs / Home Depot,54.99,https://www.superbrightleds.com/led-strips-and-bars/flexible-led-strip-lights/171x30+color-warm~3000k,"24V COB, warm 3000K option","brand/channel availability","confirm exact SKU and width","compare to kit option"
Aluminum channel,LED profile + opal cover,Aluminium LED Profile 1m CD20 with Opal Cover,CEZOS,10.35,https://cezos.com/en/SETS/39964-Aluminium-LED-Profile-1m-CD20-with-Opal-Cover-and-Accessories-Set-5907426121263.html,"1m aluminum profile, opal cover, accessories","good reference for channel+diffuser set","shipping/time may vary","compare inner width with strip"
Aluminum channel,V-shape LED profile,Aluminium LED Profile 1m CDV19 with Opal Cover,CEZOS,12.28,https://cezos.com/en/SETS/39976-Aluminium-LED-Profile-1m-CDV19-with-Opal-Cover-and-Accessories-Set-5907426121379.html,"1m V-shape profile with opal cover","useful for angled/downward lamp head","geometry may not match current CAD slot","measure before CAD final"
Aluminum channel,12mm diffuser channel,LED Light Diffuser Channel Aluminum for 12mm LED Strip,superlightingled.com,8.99,https://www.superlightingled.com/led-light-diffuser-channel-aluminum-for-12mm-led-lighting-strip-p-4556.html,"1m/2m/8ft options, 12mm strip support","affordable channel candidate","confirm diffuser opacity and depth","test with actual LED strip"
Power,24V 2A adapter,48W 24VDC 2A Desktop LED strip power adapter,bestledstrip.com,16.50,https://www.bestledstrip.com/24-vdc-2amp-desktop-led-strip-light-power-adapter/,"24V 2A, 48W, UL listed claimed","good prototype adapter candidate","verify connector type and safety marks","compare with local 24V adapter"
Dimmer,12-24V PWM dimmer,LED PWM Dimmer Inline 12V/24V 2A,Ecolocity LED,3.99,https://www.ecolocityled.com/product/led_pwm_dimmer_inline_12V,"12-24VDC, 2A","cheap inline dimmer candidate","possible flicker; limited current","test phone slow-motion banding"
Dimmer,12-24V PWM dimmer,Knob inline PWM dimmer 12-24V 2A,LEDLightingHut,8.50,https://www.ledlightinghut.com/inline-pwm-12-volt-2-amp-dimmer-for-led-strips.html,"12-24VDC, 2A","simple knob dimmer","may be bulky or flickery","compare with touch dimmer"
